Query,Document_Retrived_1,Document_Retrived_2,Index_Document_Ground_Truth,Indexes_Document_Retrived,Is_Ground_Truth_In_Top_2,Is_Ground_Truth_In_Top_1
Is Jeju Green Tea Water helpful for calming irritated and sensitive skin?,"Jeju Green Tea Water is suitable for: Dry and dehydrated skin, Redness, Pregnancy, Texture.",The benefits of Jeju Green Tea Water are outlined in the product description.,490,"[490, 492]",1,1
Is Kojic Acid helpful for reducing the appearance of dark spots and hyperpigmentation?,"Kojic Acid is suitable for: Pigmentation, Post Blemish Marks, Radiance, Pregnancy.",The benefits of Kojic Acid are outlined in the product description.,494,"[494, 496]",1,1
Is Isoleucine helpful for promoting skin repair and barrier function?,"Isoleucine is suitable for: Dry and dehydrated skin, Pregnancy, Texture.",The benefits of Isoleucine are outlined in the product description.,498,"[498, 500]",1,1
Are Jojoba Beads helpful for providing gentle exfoliation without irritation?,Jojoba Beads should be used as recommended by a professional or product instructions.,"Jojoba Beads is suitable for: Radiance, Pregnancy, Texture.",502,"[505, 502]",1,0
Is Macrocystis Pyrifera (Kelp) Extract helpful for hydrating and protecting dry skin?,"Macrocystis Pyrifera (Kelp) Extract is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Macrocystis Pyrifera (Kelp) Extract are outlined in the product description.,506,"[506, 508]",1,1
Is Magnesium Sulfate helpful for calming inflamed or irritated skin?,"Magnesium Sulfate is suitable for: Redness, Pregnancy.",The benefits of Magnesium Sulfate are outlined in the product description.,510,"[510, 512]",1,1
Is Magnesium Ascorbyl Phosphate helpful for brightening the skin and reducing signs of aging?,The benefits of Magnesium Ascorbyl Phosphate are outlined in the product description.,"Magnesium Ascorbyl Phosphate is suitable for: Fine Lines, Radiance, Wrinkles.",514,"[516, 514]",1,0
Is Lysine helpful for supporting skin elasticity and collagen production?,"Lysine is suitable for: Dry and dehydrated skin, Elasticity, Fine Lines, Redness, Pregnancy, Texture, Wrinkles.",Lysine should be used as recommended by a professional or product instructions.,518,"[518, 521]",1,1
Is Lily Extract helpful for brightening and evening out skin tone?,Lily Extract is suitable for: Pregnancy.,The benefits of Lily Extract are outlined in the product description.,522,"[522, 524]",1,1
Is Luffa Cylindrica Extract helpful for gentle exfoliation and removing dead skin cells?,Luffa Cylindrica Extract is suitable for: Pregnancy.,Luffa Cylindrica Extract should be used as recommended by a professional or product instructions.,526,"[526, 529]",1,1
Is Linolenic Acid helpful for improving skin hydration and reducing inflammation?,"Linoleic Acid is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.","Linolenic Acid is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",530,"[534, 530]",1,0
Is Linoleic Acid helpful for maintaining the skinÃÂs moisture barrier?,"Linoleic Acid is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.","Linolenic Acid is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",534,"[534, 530]",1,1
Is Leucine helpful for supporting skin healing and repair?,"Leucine is suitable for: Dry and dehydrated skin, Elasticity, Fine Lines, Impaired skin barrier, Pregnancy, Texture, Wrinkles.",The benefits of Leucine are outlined in the product description.,538,"[538, 540]",1,1
Is Licorice Extract helpful for reducing redness and calming sensitive skin?,"Licorice Extract is suitable for: Pigmentation, Post Blemish Marks, Redness, Radiance, Pregnancy.",The benefits of Licorice Extract are outlined in the product description.,542,"[542, 544]",1,1
Are Natural Moisturising Factors helpful for maintaining long-lasting hydration?,"Natural Moisturising Factors is suitable for: Dry and dehydrated skin, Impaired skin barrier, Redness, Radiance, Texture.",The benefits of Natural Moisturising Factors are outlined in the product description.,546,"[546, 548]",1,1
Is Licochalcone A helpful for reducing inflammation in sensitive or acne-prone skin?,The benefits of Licochalcone A are outlined in the product description.,Licochalcone A should be used as recommended by a professional or product instructions.,550,"[552, 553]",0,0
Is Naringenin Chalcone helpful for calming redness and skin irritation?,Naringenin Chalcone should be used as recommended by a professional or product instructions.,The benefits of Naringenin Chalcone are outlined in the product description.,554,"[557, 556]",0,0
Is Myristoyl Nonapeptide helpful for reducing the appearance of fine lines?,Myristoyl Nonapeptide should be used as recommended by a professional or product instructions.,The benefits of Myristoyl Nonapeptide are outlined in the product description.,558,"[561, 560]",0,0
Is Myristol Pentapeptide helpful for improving skin firmness and elasticity?,"Myristol Pentapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Myristol Pentapeptide are outlined in the product description.,562,"[562, 564]",1,1
Is Milk Thistle Extract helpful for detoxifying and protecting the skin from environmental damage?,"Milk Thistle Extract is suitable for: Impaired skin barrier, Redness, Pregnancy.",The benefits of Milk Thistle Extract are outlined in the product description.,566,"[566, 568]",1,1
Is Myristol Hexapeptide helpful for smoothing wrinkles and fine lines?,"Myristol Hexapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",Myristol Hexapeptide should be used as recommended by a professional or product instructions.,570,"[570, 573]",1,1
Is Mushroom Extract helpful for boosting hydration and providing antioxidant protection?,"Mushroom Extract is suitable for: Pigmentation, Pregnancy.",The benefits of Mushroom Extract are outlined in the product description.,574,"[574, 576]",1,1
Is Moringa Seed Extract helpful for protecting the skin against environmental stressors?,"Moringa Seed Extract is suitable for: Dry and dehydrated skin, Impaired skin barrier, Redness, Radiance, Pregnancy, Texture.",The benefits of Moringa Seed Extract are outlined in the product description.,578,"[578, 580]",1,1
Is Marshmallow Root helpful for soothing irritation and hydrating dry skin?,The benefits of Marshmallow Root are outlined in the product description.,"Marshmallow Root is suitable for: Redness, Pregnancy.",582,"[584, 582]",1,0
Are Mineral UV Filters helpful for providing non-irritating sun protection?,Mineral UV Filters is suitable for: Anyone.,The benefits of Mineral UV Filters are outlined in the product description.,586,"[586, 588]",1,1
Is Meadowfoam Seed Oil helpful for locking in moisture and softening the skin?,"Meadowfoam Seed Oil is suitable for: Dry and dehydrated skin, Radiance, Pregnancy, Texture.",The benefits of Meadowfoam Seed Oil are outlined in the product description.,590,"[590, 592]",1,1
Is Marine Extract helpful for revitalizing and hydrating tired skin?,"Marine Extract is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Marine Extract are outlined in the product description.,594,"[594, 596]",1,1
Is Mango Seed Butter helpful for nourishing and softening dry or rough skin?,"Mango Seed Butter is suitable for: Dry and dehydrated skin, Pregnancy.",The benefits of Mango Seed Butter are outlined in the product description.,598,"[598, 600]",1,1
Is Palmitoyl Oligopeptide helpful for promoting collagen synthesis and skin regeneration?,"Palmitoyl Oligopeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Palmitoyl Oligopeptide are outlined in the product description.,602,"[602, 604]",1,1
Is Mandelic Acid helpful for exfoliating and improving uneven skin tone?,"Mandelic Acid is suitable for: Acne, Blackheads, Enlarged Pores, Fine Lines, Pigmentation, Post Blemish Marks, Radiance, Texture.",The benefits of Mandelic Acid are outlined in the product description.,606,"[606, 608]",1,1
Is Palmitoyl Nonapeptide helpful for reducing signs of aging and improving skin texture?,The benefits of Palmitoyl Nonapeptide are outlined in the product description.,"Palmitoyl Nonapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",610,"[612, 610]",1,0
Is Palmitoyl Pentapeptide helpful for enhancing skin elasticity and reducing wrinkles?,"Palmitoyl Pentapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Palmitoyl Pentapeptide are outlined in the product description.,614,"[614, 616]",1,1
Is Palmitoyl Glycine helpful for improving skin hydration and smoothness?,"Palmitoyl Glycine is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Palmitoyl Glycine are outlined in the product description.,618,"[618, 620]",1,1
Is Palmitoyl Heptapeptide helpful for reducing fine lines and wrinkles?,"Palmitoyl Heptapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Palmitoyl Heptapeptide are outlined in the product description.,622,"[622, 624]",1,1
Is Octocrylene helpful for providing effective UV protection in sunscreen?,Octocrylene is suitable for: UV Protection.,The benefits of Octocrylene are outlined in the product description.,626,"[626, 628]",1,1
Is Palmitoyl Decapeptide helpful for reducing visible signs of skin aging?,The benefits of Palmitoyl Decapeptide are outlined in the product description.,"Palmitoyl Decapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",630,"[632, 630]",1,0
Are Oligopeptides helpful for improving skin elasticity and repair?,"Oligopeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Oligopeptide are outlined in the product description.,634,"[634, 636]",1,1
Is Padina Pavonica Thallus Extract helpful for hydrating and plumping the skin?,"Padina Pavonica Thallus Extract is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Padina Pavonica Thallus Extract are outlined in the product description.,638,"[638, 640]",1,1
Is Oat Extract helpful for soothing sensitive or irritated skin?,"Oat Extract is suitable for: Dry and dehydrated skin, Impaired skin barrier, Redness, Pregnancy, Texture.",The benefits of Oat Extract are outlined in the product description.,642,"[642, 644]",1,1
Is Octisalate helpful for protecting the skin from harmful UV rays?,Octisalate is suitable for: UV Protection.,The benefits of Octisalate are outlined in the product description.,646,"[646, 648]",1,1
Is Octinoxate helpful for preventing sun-induced skin damage?,Octinoxate is suitable for: UV Protection.,The benefits of Octinoxate are outlined in the product description.,650,"[650, 652]",1,1
Are Polyhydroxy Acids helpful for gently exfoliating sensitive skin?,"Polyhydroxy Acids is suitable for: Acne, Blackheads, Dry and dehydrated skin, Enlarged Pores, Fine Lines, Pigmentation, Post Blemish Marks, Radiance, Texture.",Polyhydroxy Acids should be used as recommended by a professional or product instructions.,654,"[654, 657]",1,1
Is Porphyridium Cruentum Extract helpful for protecting against oxidative stress?,"Porphyridium Cruentum Extract is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Porphyridium Cruentum Extract are outlined in the product description.,658,"[658, 660]",1,1
Is Polyporus Umbellatus Extract suitable for individuals with fungal allergies?,People with Related Allergy should avoid Polyporus Umbellatus (Mushroom) Extract.,Polyporus Umbellatus (Mushroom) Extract should be used as recommended by a professional or product instructions.,662,"[662, 664]",1,1
Is Phytic Acid helpful for brightening and exfoliating dull skin?,"Phytic Acid is suitable for: Acne, Blackheads, Enlarged Pores.",Phytic Acid should be used as recommended by a professional or product instructions.,665,"[665, 668]",1,1
Is Plankton Extract helpful for rejuvenating and hydrating tired skin?,"Plankton Extract is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Plankton Extract are outlined in the product description.,669,"[669, 671]",1,1
Is Perfluorodecalin helpful for delivering oxygen to the skin?,"Perfluorodecalin is suitable for: Acne, Blackheads, Redness, Radiance.",Perfluorodecalin should be used as recommended by a professional or product instructions.,673,"[673, 676]",1,1
Is Phytosphingosine helpful for repairing and reinforcing the skin barrier?,"Phytosphingosine is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",Phytosphingosine should be used as recommended by a professional or product instructions.,677,"[677, 680]",1,1
Are Phospholipids helpful for improving skin hydration and elasticity?,"Phospholipids is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",The benefits of Phospholipids are outlined in the product description.,681,"[681, 683]",1,1
Is Palmitoyl Tripeptide-1 helpful for boosting collagen production and reducing wrinkles?,"Palmitoyl  Tripeptide-1 is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Palmitoyl  Tripeptide-1 are outlined in the product description.,685,"[685, 687]",1,1
Is Pentapeptide helpful for reducing the appearance of fine lines and wrinkles?,Pentapeptide should be used as recommended by a professional or product instructions.,"Pentapeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",689,"[692, 689]",1,0
Are Parachlorella Beijerinckii Exopolysaccharides helpful for improving skin hydration and resilience?,"Parachlorella Beijerinckii Exopolysaccharides is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",Parachlorella Beijerinckii Exopolysaccharides should be used as recommended by a professional or product instructions.,693,"[697, 700]",0,0
Is Retinyl Retinoate helpful for reducing signs of aging and improving skin texture?,"Retinyl Retinoate is suitable for: Acne, Blackheads, Elasticity, Enlarged Pores, Fine Lines, Pigmentation, Radiance, Texture, Wrinkles.",The benefits of Retinyl Retinoate are outlined in the product description.,697,"[701, 703]",0,0
Is Palmitoyl Tripeptide helpful for promoting skin firmness and elasticity?,"Palmitoyl Tripeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Palmitoyl Tripeptide are outlined in the product description.,701,"[705, 707]",0,0
Is Neurophroline helpful for reducing stress-induced skin damage?,"Neurophroline is suitable for: Acne, Dry and dehydrated skin, Redness, Radiance, Texture.",The benefits of Neurophroline are outlined in the product description.,705,"[709, 711]",0,0
Is Retinyl Propionate helpful for improving uneven skin tone and texture?,"Retinyl Retinoate is suitable for: Acne, Blackheads, Elasticity, Enlarged Pores, Fine Lines, Pigmentation, Radiance, Texture, Wrinkles.","Retinyl Propionate is suitable for: Elasticity, Enlarged Pores, Fine Lines, Pigmentation, Radiance, Texture, Wrinkles.",709,"[701, 713]",0,0
Is Retinyl Palmitate helpful for smoothing wrinkles and supporting cell renewal?,Retinyl Palmitate should be used as recommended by a professional or product instructions.,Retinyl Palmitate is suitable for: Fine Lines.,713,"[720, 717]",0,0
Is Retinol helpful for reducing visible signs of aging and acne scars?,The benefits of Retinol are outlined in the product description.,"Retinyl Retinoate is suitable for: Acne, Blackheads, Elasticity, Enlarged Pores, Fine Lines, Pigmentation, Radiance, Texture, Wrinkles.",717,"[723, 701]",0,0
Is Resveratrol helpful for providing antioxidant protection and combating free radicals?,"Resveratrol is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Resveratrol are outlined in the product description.,721,"[725, 727]",0,0
Is Red Algae helpful for hydrating and protecting the skin barrier?,"Red Algae is suitable for: Dry and dehydrated skin, Impaired skin barrier, Pregnancy, Texture.",The benefits of Red Algae are outlined in the product description.,725,"[729, 731]",0,0
Is Quercetin helpful for soothing inflammation and redness?,"Quercetin is suitable for: Dry and dehydrated skin, Impaired skin barrier, Pregnancy, Texture.",The benefits of Quercetin are outlined in the product description.,729,"[733, 735]",0,0
Are Pseudoalteromonas Exopolysaccharides helpful for improving skin hydration and smoothness?,"Pseudoalteromonas Exopolysaccharides is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",The benefits of Pseudoalteromonas Exopolysaccharides are outlined in the product description.,733,"[737, 739]",0,0
Is Proline helpful for supporting collagen synthesis and skin elasticity?,"Proline is suitable for: Dry and dehydrated skin, Elasticity, Fine Lines, Pregnancy, Texture, Wrinkles.",The benefits of Proline are outlined in the product description.,737,"[741, 743]",0,0
Is Potassium Azeloyl Diglycinate helpful for reducing redness and improving skin tone?,"Potassium Azeloyl Diglycinate is suitable for: Acne, Blackheads, Enlarged Pores, Pigmentation, Post Blemish Marks, Redness, Radiance, Pregnancy.",The benefits of Potassium Azeloyl Diglycinate are outlined in the product description.,741,"[745, 747]",0,0
Are Probiotics helpful for balancing the skinÃÂs microbiome?,"Probiotics is suitable for: Acne, Blackheads, Redness, Pregnancy.",The benefits of Probiotics are outlined in the product description.,745,"[749, 751]",0,0
Is Prickly Pear Extract helpful for soothing and hydrating dry or irritated skin?,"Prickly Pear Extract is suitable for: Redness, Pregnancy.",The benefits of Prickly Pear Extract are outlined in the product description.,749,"[753, 755]",0,0
Is Snow Mushroom Extract helpful for improving skin hydration and elasticity?,"Snow Mushroom Extract is suitable for: Dry and dehydrated skin, Fine Lines, Redness, Pregnancy, Texture.",The benefits of Snow Mushroom Extract are outlined in the product description.,753,"[757, 759]",0,0
Are Prebiotics helpful for promoting healthy skin microbiota?,"Prebiotics is suitable for: Acne, Blackheads, Redness, Pregnancy.",The benefits of Prebiotics are outlined in the product description.,757,"[761, 763]",0,0
Is Shea Butter helpful for nourishing and repairing dry or damaged skin?,The benefits of Shea Butter are outlined in the product description.,"Shea Butter is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",761,"[767, 765]",0,0
Is Sesame Seed Oil helpful for softening and hydrating the skin?,"Sesame Seed Oil is suitable for: Dry and dehydrated skin, Pregnancy.",The benefits of Sesame Seed Oil are outlined in the product description.,765,"[769, 771]",0,0
Is Silk Protein helpful for improving skin smoothness and elasticity?,"Silk Protein is suitable for: Dry and dehydrated skin, Pregnancy.",The benefits of Silk Protein are outlined in the product description.,769,"[773, 775]",0,0
Is Sh-Oligopeptide helpful for reducing signs of aging and improving skin repair?,"Sh-Oligopeptide is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",The benefits of Sh-Oligopeptide are outlined in the product description.,773,"[777, 779]",0,0
Is Serine helpful for maintaining skin hydration and smoothness?,"Serine is suitable for: Dry and dehydrated skin, Pregnancy, Texture.",Serine should be used as recommended by a professional or product instructions.,777,"[781, 784]",0,0
Is Sea Buckthorn Water helpful for nourishing and rejuvenating tired skin?,"Sea Buckthorn Water is suitable for: Radiance, Pregnancy.",The benefits of Sea Buckthorn Water are outlined in the product description.,781,"[785, 787]",0,0
Is Saskatoon Berry helpful for providing antioxidant protection to the skin?,Saskatoon Berry is suitable for: Pregnancy.,The benefits of Saskatoon Berry are outlined in the product description.,785,"[789, 791]",0,0
Is Salicylic Acid helpful for treating acne and unclogging pores?,"Salicylic Acid is suitable for: Acne, Blackheads, Enlarged Pores, Oily, Pigmentation, Post Blemish Marks, Redness, Radiance.",The benefits of Salicylic Acid are outlined in the product description.,789,"[793, 795]",0,0
Is Rosemary Leaf Extract helpful for providing antioxidant and antimicrobial benefits?,"Rosemary Leaf Extract is suitable for: Redness, Pregnancy.",The benefits of Rosemary Leaf Extract are outlined in the product description.,793,"[797, 799]",0,0
Is Safflower Seed Oil helpful for moisturizing and softening dry skin?,"Safflower Seed Oil is suitable for: Dry and dehydrated skin, Impaired skin barrier, Pregnancy, Texture.",The benefits of Safflower Seed Oil are outlined in the product description.,797,"[801, 803]",0,0
Is Saccharomyces Cerevisiae (Yeast) Extract helpful for improving skin renewal and hydration?,"Saccharomyces Cerevisiae (Yeast) Extract is suitable for: Acne, Blackheads, Redness, Pregnancy.",The benefits of Saccharomyces Cerevisiae (Yeast) Extract are outlined in the product description.,801,"[805, 807]",0,0
Is Sacred Lotus Flower Extract helpful for brightening and revitalizing dull skin?,"Sacred Lotus Flower Extract is suitable for: Elasticity, Fine Lines, Pigmentation, Wrinkles.",Sacred Lotus Flower Extract should be used as recommended by a professional or product instructions.,805,"[809, 812]",0,0
Is Tasmanian Pepperberry Extract helpful for calming redness and irritation?,"Tasmanian Pepperberry Extract is suitable for: Redness, Pregnancy.",The benefits of Tasmanian Pepperberry Extract are outlined in the product description.,809,"[813, 815]",0,0
Is Tartaric Acid helpful for exfoliating and improving uneven skin tone?,"Tartaric Acid is suitable for: Acne, Blackheads, Enlarged Pores, Radiance, Pregnancy.",The benefits of Tartaric Acid are outlined in the product description.,813,"[817, 819]",0,0
Is Rhamnose helpful for improving skin firmness and elasticity?,"Rhamnose is suitable for: Acne, Blackheads, Redness, Pregnancy.",The benefits of Rhamnose are outlined in the product description.,817,"[821, 823]",0,0
Is Sweet Almond Oil helpful for soothing and moisturizing dry skin?,"Sweet Almond Oil is suitable for: Dry and dehydrated skin, Pregnancy, Texture.",The benefits of Sweet Almond Oil are outlined in the product description.,821,"[825, 827]",0,0
Is Symsitive helpful for reducing skin sensitivity and irritation?,"Symsitive is suitable for: Redness, Pregnancy.",The benefits of Symsitive are outlined in the product description.,825,"[829, 831]",0,0
Is Sugar Cane Extract helpful for exfoliating and brightening the skin?,"Sugar Cane Extract is suitable for: Acne, Blackheads, Enlarged Pores, Radiance, Texture.",The benefits of Sugar Cane Extract are outlined in the product description.,829,"[833, 835]",0,0
Is Superoxide Dismutase helpful for protecting the skin from oxidative damage?,Superoxide Dismutase is suitable for: Pregnancy.,The benefits of Superoxide Dismutase are outlined in the product description.,833,"[837, 839]",0,0
Is Sunflower Oil helpful for moisturizing and softening the skin?,"Sunflower Oil is suitable for: Dry and dehydrated skin, Impaired skin barrier, Pregnancy, Texture.",The benefits of Sunflower Oil are outlined in the product description.,837,"[841, 843]",0,0
Is Spent Grain Wax helpful for repairing and hydrating dry lips?,"Spent Grain Wax is suitable for: Dry and dehydrated skin, Redness, Pregnancy.",The benefits of Spent Grain Wax are outlined in the product description.,841,"[845, 847]",0,0
Is Sulfur helpful for treating acne and reducing oiliness?,"Sulfur is suitable for: Acne, Blackheads, Pregnancy.",The benefits of Sulfur are outlined in the product description.,845,"[849, 851]",0,0
Is Squalane helpful for deeply hydrating and smoothing the skin?,"Squalane is suitable for: Dry and dehydrated skin, Impaired skin barrier, Radiance, Pregnancy, Texture.",Squalane should be used as recommended by a professional or product instructions.,849,"[853, 856]",0,0
Is Urea helpful for improving skin hydration and texture?,The benefits of Urea are outlined in the product description.,"Urea is suitable for: Dry and dehydrated skin, Radiance, Pregnancy, Texture.",853,"[859, 857]",0,0
Is Sodium Lactate helpful for maintaining the skinÃÂs moisture balance?,"Sodium Lactate is suitable for: Dry and dehydrated skin, Pregnancy, Texture.",The benefits of Sodium Lactate are outlined in the product description.,857,"[861, 863]",0,0
Is Turmeric Root Extract helpful for reducing inflammation and brightening skin tone?,"Turmeric Root Extract is suitable for: Redness, Pregnancy.",The benefits of Turmeric Root Extract are outlined in the product description.,861,"[865, 867]",0,0
Is Turmeric Root Extract suitable for individuals with very sensitive skin?,People with Related Allergy should avoid Turmeric Root Extract.,"Turmeric Root Extract is suitable for: Redness, Pregnancy.",865,"[866, 865]",1,0
Can people in pregnancy use valine?,Valine should be used as recommended by a professional or product instructions.,"Valine is suitable for: Dry and dehydrated skin, Pregnancy, Texture.",870,"[872, 869]",0,0
Does Trehalose help reduce wrinkles?,The benefits of Trehalose are outlined in the product description.,Trehalose should be used as recommended by a professional or product instructions.,873,"[875, 876]",0,0
Could Tripleurospermum Maritimum Extract cause issues for individuals with sensitive skin?,People with Related Allergy should avoid Tripleurospermum Maritimum Extract.,Tripleurospermum Maritimum Extract should be used as recommended by a professional or product instructions.,878,"[878, 880]",1,1
Is Triazine Diethyl Butamidotriazone suitable for individuals with very sensitive skin?,"People with Pregnancy, Sensitive should avoid Triazine Diethyl Butamidotriazone.",Triazine Diethyl Butamidotriazone should be used as recommended by a professional or product instructions.,882,"[882, 884]",1,1
Could Thiamidol trigger sensitivity in individuals with reactive skin?,People with Related Allergy should avoid Thiamidol.,Thiamidol should be used as recommended by a professional or product instructions.,886,"[886, 888]",1,1
Is Tranexamic Acid suitable for individuals with very sensitive skin?,"Tranexamic Acid is suitable for: Pigmentation, Post Blemish Marks, Radiance, Pregnancy.",People with Related Allergy should avoid Tranexamic Acid.,890,"[889, 890]",1,0
Could Tomato Stem Cells trigger sensitivity in individuals with reactive skin?,"Tomato Stem Cells is suitable for: Elasticity, Fine Lines, Pregnancy, Wrinkles.",People with Related Allergy should avoid Tomato Stem Cells.,894,"[893, 894]",1,0
Is Teprenone suitable for individuals with very sensitive skin?,Teprenone should be used as recommended by a professional or product instructions.,"Teprenone is suitable for: Enlarged Pores, Impaired skin barrier, Pigmentation, Redness, Pregnancy, Texture.",898,"[900, 897]",0,0
Could Threonine cause issues for individuals with sensitive skin?,People with Related Allergy should avoid Threonine.,"Threonine is suitable for: Dry and dehydrated skin, Pregnancy, Texture.",902,"[902, 901]",1,1
Is Zinc Gluconate suitable for individuals with very sensitive skin?,People with Related Allergy should avoid Zinc Gluconate.,"Zinc Gluconate is suitable for: Acne, Blackheads, Enlarged Pores, Redness.",906,"[906, 905]",1,1
Could Tetrahexyldecyl Ascorbate trigger issues for individuals with sensitive skin?,"People with Related Allergy, Impaired skin barrier should avoid Tetrahexyldecyl Ascorbate.",Tetrahexyldecyl Ascorbate should be used as recommended by a professional or product instructions.,910,"[910, 912]",1,1
Is Zinc suitable for individuals with very sensitive skin?,"Zinc is suitable for: Acne, Blackheads, Oily, Redness.",People with Related Allergy should avoid Zinc.,914,"[913, 914]",1,0
Could Yerba Mate Extract cause issues for individuals with sensitive skin?,Yerba Mate Extract is suitable for: Impaired skin barrier.,Yerba Mate Extract should be used as recommended by a professional or product instructions.,918,"[917, 920]",0,0
Is Yeast Amino Acids suitable for individuals with very sensitive skin?,People with Related Allergy should avoid Yeast Amino Acids.,Yeast Amino Acids is suitable for: Dry and dehydrated skin.,922,"[922, 921]",1,1
Could Willow Herb Extract trigger sensitivity in individuals with reactive skin?,Willow Herb Extract is suitable for: Impaired skin barrier.,People with Related Allergy should avoid Willow Herb Extract.,926,"[925, 926]",1,0
Is Willow Bark Extract suitable for individuals with very sensitive skin?,"Willow Bark Extract is suitable for: Acne, Blackheads, Enlarged Pores, Oily, Redness, Radiance.","People with Related Allergy, Dry Dehydrated, Impaired skin barrier should avoid Willow Bark Extract.",930,"[929, 930]",1,0
Could Wild Cherry Extract cause issues for individuals with sensitive skin?,People with Related Allergy should avoid Wild Cherry Extract.,Wild Cherry Extract is suitable for: Impaired skin barrier.,934,"[934, 933]",1,1
Is White Tea suitable for individuals with very sensitive skin?,White Tea is suitable for: Redness.,White Tea should be used as recommended by a professional or product instructions.,938,"[937, 940]",0,0
Could Vitamin K1 trigger sensitivity in individuals with reactive skin?,People with Related Allergy should avoid Vitamin K1.,Vitamin K1 is suitable for: Anyone.,942,"[942, 941]",1,1
Is Vitamin E suitable for individuals with very sensitive skin?,People with Related Allergy should avoid Vitamin E.,"Vitamin E is suitable for: Dry and dehydrated skin, Impaired skin barrier, Redness, Texture.",946,"[946, 945]",1,1
Could Vitamin C cause issues for individuals with sensitive skin?,"People with Related Allergy, Sensitive, Dry Dehydrated, Impaired skin barrier should avoid Vitamin C.","Vitamin C is suitable for: Elasticity, Fine Lines, Pigmentation, Radiance, Pregnancy, Wrinkles.",950,"[950, 949]",1,1
Is Vitamin B5 suitable for individuals with very sensitive skin?,"Vitamin B5 is suitable for: Dry and dehydrated skin, Impaired skin barrier, Redness, Radiance, Pregnancy, Texture.",People with Related Allergy should avoid Vitamin B5.,954,"[953, 954]",1,0
Could Vitamin A trigger irritation for individuals with sensitive skin?,"People with Pregnancy, Sensitive, Impaired skin barrier should avoid Vitamin A.",People with Related Allergy should avoid Vitamin E.,958,"[958, 946]",1,1
Is Vibrio Alginolyticus Ferment Filtrate suitable for individuals with very sensitive skin?,"Vibrio Alginolyticus Ferment Filtrate is suitable for: Dry and dehydrated skin, Fine Lines, Pregnancy, Wrinkles.",People with Related Allergy should avoid Vibrio Alginolyticus Ferment Filtrate.,962,"[961, 962]",1,0
Could Tea Tree Oil cause issues for individuals with sensitive skin?,People with Related Allergy should avoid Tea Tree Oil.,"Tea Tree Oil is suitable for: Blackheads, Redness, Pregnancy.",966,"[966, 965]",1,1
Is Zinc Sulfate suitable for individuals with very sensitive skin?,People with Related Allergy should avoid Zinc Sulfate.,Zinc Sulfate is suitable for: Anyone.,970,"[970, 969]",1,1
Could Zinc PCA trigger sensitivity in individuals with reactive skin?,"Zinc PCA is suitable for: Acne, Blackheads, Enlarged Pores, Fine Lines, Redness.",People with Related Allergy should avoid Zinc PCA.,974,"[973, 974]",1,0
Is Neoglucosamine suitable for individuals with very sensitive skin?,"People with Related Allergy, Impaired skin barrier should avoid Neoglucosamine.","Neoglucosamine is suitable for: Blackheads, Elasticity, Enlarged Pores, Fine Lines, Pigmentation, Post Blemish Marks, Radiance, Pregnancy, Wrinkles.",978,"[978, 977]",1,1
